iter	Passed	Remaining
0	60	60874
1	61	30630
2	61	20571
3	62	15519
4	62	12477
5	63	10466
6	63	9016
7	63	7928
8	64	7084
9	64	6408
10	65	5853
11	65	5395
12	65	5001
13	66	4665
14	66	4375
15	67	4126
16	67	3902
17	67	3702
18	68	3525
19	68	3364
20	69	3218
21	69	3084
22	69	2964
23	70	2882
24	71	2779
25	71	2683
26	71	2593
27	72	2511
28	72	2434
29	73	2363
30	73	2298
31	73	2236
32	74	2178
33	74	2123
34	75	2073
35	75	2025
36	76	1981
37	76	1938
38	76	1896
39	77	1856
40	77	1819
41	78	1784
42	78	1751
43	79	1719
44	79	1689
45	80	1661
46	80	1634
47	81	1607
48	81	1581
49	81	1556
50	82	1532
51	82	1509
52	83	1487
53	83	1465
54	84	1444
55	84	1423
56	85	1407
57	85	1388
58	85	1369
59	86	1352
60	86	1335
61	87	1318
62	87	1302
63	88	1289
64	88	1274
65	88	1259
66	89	1245
67	89	1231
68	90	1218
69	90	1204
70	91	1191
71	91	1179
72	91	1167
73	92	1155
74	92	1145
75	93	1134
76	93	1125
77	94	1115
78	94	1105
79	95	1095
80	95	1085
81	96	1076
82	96	1064
83	96	1054
84	97	1045
85	97	1036
86	97	1027
87	98	1018
88	98	1010
89	99	1001
90	99	993
91	99	986
92	100	978
93	100	971
94	101	965
95	101	958
96	102	951
97	102	944
98	103	938
99	103	931
100	103	925
101	104	919
102	104	913
103	105	907
104	105	901
105	106	895
106	106	889
107	107	884
108	107	878
109	107	873
110	108	868
111	108	862
112	109	857
113	109	852
114	110	847
115	110	842
116	110	836
117	111	833
118	112	829
119	112	824
120	112	819
121	113	814
122	113	810
123	114	805
124	114	801
125	114	797
126	115	796
127	116	792
128	116	788
129	117	784
130	117	781
131	118	777
132	118	773
133	119	769
134	119	765
135	119	761
136	120	757
137	120	754
138	121	750
139	121	746
140	122	743
141	122	738
142	122	735
143	123	732
144	123	728
145	124	726
146	124	722
147	125	719
148	125	716
149	126	714
150	126	710
151	126	707
152	127	704
153	127	701
154	128	698
155	128	695
156	128	692
157	129	689
158	129	686
159	130	683
160	130	679
161	130	676
162	131	674
163	131	671
164	132	669
165	132	666
166	133	664
167	133	661
168	134	659
169	134	656
170	134	653
171	135	651
172	135	648
173	136	646
174	136	643
175	137	641
176	137	638
177	137	636
178	138	634
179	138	631
180	139	629
181	139	627
182	140	625
183	140	623
184	141	621
185	141	619
186	141	616
187	142	615
188	142	612
189	143	610
190	143	608
191	144	606
192	144	604
193	145	602
194	145	600
195	145	598
196	146	596
197	146	594
198	147	592
199	147	590
200	147	587
201	148	585
202	148	583
203	149	581
204	149	579
205	149	578
206	150	576
207	150	574
208	151	571
209	151	569
210	151	568
211	152	566
212	152	564
213	153	562
214	153	560
215	154	558
